"x","y","z"
326432,4767334,-3729
319865,4777086,-7173
326828,4765989,-1604
326954,4766228,-1316
329839,4765351,-1971
328771,4761838,-1518
326755,4766143,-1653
331229,4763610,-885
326324,4767714,-2102
328481,4768121,-1697
333199,4756231,-2313
326891,4765442,-1589
323662,4772644,-3681
322042,4771860,-1469
333373,4755266,-2606
332306,4754135,-4123
330620,4758648,-2136
330840,4758467,-2071
330889,4758533,-2058
330935,4758688,-2315
324397,4764337,-640
328343,4768401,-1729
333633,4755512,-1898
334030,4755553,-2340
334348,4756692,-583
330680,4759069,-2757
319465,4777525,-8142
331631,4758446,-1319
333461,4756202,-2068
326403,4766146,-2143
326249,4765937,-3599
323624,4766397,-5497
323925,4766477,-5786
323616,4766482,-6099
327359,4769180,-2175
325701,4774909,-2805
324708,4765581,-4530
325914,4765650,-2013
325903,4765072,-3579
326247,4765438,-2909
323604,4764616,-5385
323209,4768036,-4117
325934,4759667,-3647
326352,4759941,-3027
327084,4761820,-2590
326970,4765348,-1685
322551,4765829,-7182
326260,4762450,-2533
326763,4765207,-1900
326638,4765455,-1712
325025,4766552,-3868
327813,4765634,-898
322941,4765357,-4549
326121,4765443,-2621
324787,4765123,-4690
326541,4765937,-1742
326446,4763286,-1965
325640,4761052,-4380
325030,4766743,-3549
326364,4765884,-2500
325659,4765838,-3211
322956,4765254,-6835
326923,4765231,-1942
326203,4764905,-3228
323378,4764480,-5316
330220,4761454,-1023
326159,4765509,-3701
326610,4764020,-2028
326852,4764595,-1361
326892,4764539,-1395
327458,4763674,-1355
327442,4763237,-1567
322482,4771722,-2987
326743,4763993,-1698
326163,4765328,-3427
327592,4763412,-1139
328098,4770282,-358
326484,4765981,-2161
326743,4764056,-2110
322743,4769844,-5436
327373,4763223,-1619
327281,4761330,-2756
322977,4763681,-6544
326603,4763944,-2005
325407,4763476,-4100
325628,4771748,-2565
325726,4761919,-3836
327396,4778175,-228
327301,4763300,-1480
325792,4766499,-2315
326613,4766222,-1101
326942,4765166,-1762
326407,4765705,-1941
326906,4767866,-996
325626,4763612,-4123
325421,4766236,-2466
327140,4762389,-1410
325903,4765465,-3907
322532,4763867,-6361
326348,4765674,-2606
325510,4764805,-4057
332881,4754275,-3759
326382,4763959,-2290
319374,4777710,-6377
323444,4763721,-5431
330714,4758996,-2874
323229,4764607,-6653
325989,4766427,-2147
